,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
1346,54 Praangan - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Awadhi, North Indian",1500,4.4
1347,Mr & Mrs Somani - The Grand Bhagwati,The Grand Bhagwati,North Indian,1600,4.4
1348,Sanchi - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese",1800,4.3
1349,Courtyard - Crescent Spa & Resorts,Crescent Spa & Resorts,"North Indian, Chinese",1500,4
1350,Quorum - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Finger Food, North Indian, Continental",1500,3.7
1351,Ego,Old Palasia,"North Indian, Chinese",1500,3.8
1352,District 11,"Malhar Mega Mall, Vijay Nagar","North Indian, Italian, Mexican",1200,3.4
1353,Drunken Monkey,Vijay Nagar,"Beverages, Healthy Food, Fast Food",300,4.3
1354,Vijayshree Sandwich,Vijay Nagar,Sandwich,200,3.9
1355,Keventers,Old Palasia,"Beverages, Desserts, Ice Cream",400,4.2
