,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
343,Mr & Mrs Somani - The Grand Bhagwati,The Grand Bhagwati,North Indian,1600,4.4
344,Naturals Ice Cream,Vijay Nagar,"Desserts, Ice Cream",150,4.4
345,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
346,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
347,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
348,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
349,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
350,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
351,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
352,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
353,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
354,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
355,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
356,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
357,Ravi Alpahar,Old Palasia,Street Food,100,4.3
358,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
359,Fagun Restaurant,Vijay Nagar,"North Indian, Continental, Chinese",1200,4.3
360,Pleasure House,Bhawar Kuan,"Cafe, Fast Food",500,4.3
361,Shreemaya Celebrity,Vijay Nagar,"North Indian, South Indian, Italian, Chinese, Street Food",500,4.3
362,Cakesmith's Alley,Vijay Nagar,"Bakery, Fast Food",500,4.3
363,Urban Desi Bistro,"56 Dukan, New Palasia","North Indian, Mughlai",700,4.3
364,Fork It Cafe,By Pass Road (South),"Cafe, Fast Food",600,4.3
365,Indiya Oye - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","North Indian, Kashmiri",1850,4.3
366,Chef Lucky's Paratha On Wheels,Old Palasia,"North Indian, Fast Food, Biryani",450,4.3
367,Om Namkeen,New Palasia,Street Food,200,4.3
368,Twilight - Hotel WOW,"Hotel Wow, Vijay Nagar",Bar Food,2400,4.3
369,Drunken Monkey,Vijay Nagar,"Beverages, Healthy Food, Fast Food",300,4.3
370,Cakes & More,New Palasia,"Bakery, Desserts",350,4.3
371,Hangover The Gastro Pub,Vijay Nagar,"North Indian, Italian",1000,4.3
372,Sanchi - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese",1800,4.3
373,The Piano Project,Vijay Nagar,"North Indian, Mughlai",1200,4.3
374,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
375,99 Rotiwala,HIG-LIG,North Indian,500,4.2
376,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
377,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
378,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
379,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
380,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
381,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
382,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
383,Faasos,Old Palasia,"Fast Food, North Indian, Biryani, Rolls, Wraps",600,4.2
384,Oye Pappe,Bhawar Kuan,"North Indian, Fast Food",350,4.2
385,Chef's Alcove,Rau,"American, Mexican, Italian",850,4.2
386,Oye Pappe,"56 Dukan, New Palasia","North Indian, Street Food",450,4.2
387,Farzi Café,Vijay Nagar,"North Indian, Continental",1500,4.2
388,Tinku's,Old Palasia,"Sandwich, Fast Food, Beverages",450,4.2
389,Cream Stone,New Palasia,"Ice Cream, Desserts",300,4.2
390,Bake Affaire,YN Road,"Fast Food, Bakery",350,4.2
391,Constellation - Hotel WOW,"Hotel Wow, Vijay Nagar","North Indian, Asian, Italian",1800,4.2
392,Faasos,"Mangal City Mall, Vijay Nagar","Fast Food, North Indian, Biryani, Rolls, Wraps",600,4.2
393,Laxmi Narayan Doodhwala,Old Palasia,"Mithai, Fast Food",200,4.2
394,Shree Gautam Chinese,Old Palasia,Chinese,400,4.2
395,Tea Diaries,YN Road,Cafe,500,4.2
396,Hotel Shreemaya Residency,"Hotel Shreemaya Residency, Press Complex","North Indian, Chinese, Continental",1200,4.2
397,Waffles & More,Old Palasia,"Cafe, Desserts",500,4.2
398,Keventers,Old Palasia,"Beverages, Desserts, Ice Cream",400,4.2
399,Om Namkeen,Sapna Sangeeta,Street Food,200,4.2
400,Nautica - The Red Maple,"The Red Maple Mashal, Rau","North Indian, Chinese",1000,2.1
401,The Container Cafe,Vijay Nagar,Fast Food,300,2.2
402,Shri Balaji,By Pass Road (North),"North Indian, Chinese",400,2.2
403,Woodstock Cafe - The Red Maple,"The Red Maple Mashal, Rau","North Indian, Chinese, Cafe",1000,2.3
404,Apna Sweets,Rau,"Mithai, North Indian, South Indian, Beverages",400,2.4
405,Chai Kaapi,Chhavani,"Fast Food, Beverages",400,2.4
406,LIG Maggie & Pasta,"56 Dukan, New Palasia",Fast Food,300,2.4
407,Khana Khazana K2,By Pass Road (North),"North Indian, Chinese",500,2.4
408,Bocca Buona,"Golden Gate, Vijay Nagar","Cafe, Fast Food",350,2.4
409,Jain Mithai Bhandar,Vijay Nagar,"Mithai, Street Food",200,2.4
410,Angithi Restaurant,By Pass Road (North),"North Indian, Chinese",500,2.4
411,Mharo Rajwaad,YN Road,Rajasthani,600,2.5
412,Mathurawala Sweets,"Mathurawala, Airport Road",Mithai,300,2.5
413,The Cliff Restaurant & Bar,Vijay Nagar,"North Indian, Chinese",1300,2.5
414,Gyani's Kafe,Bhawar Kuan,"Fast Food, Desserts",400,2.5
415,Baree's - Punjabis By Nature,By Pass Road (South),"North Indian, Chinese",650,2.5
416,FOI- Food of Indians,Old Palasia,"Fast Food, Momos, Beverages",400,2.5
417,Ab Tak 56,Vijay Nagar,"Sandwich, Fast Food, North Indian",200,2.5
418,Bherunath,HIG-LIG,"Fast Food, North Indian",250,2.5
419,Cakes To Indore,Manik Bagh Road,Bakery,300,2.5
420,Mr. Bawarchi,Vijay Nagar,"North Indian, Fast Food",500,2.6
421,Mclaren's Cafe,Khajrana,"Cafe, Mexican, Fast Food",700,2.6
422,The Cafe Square,Bhawar Kuan,"Cafe, North Indian",450,2.6
423,Cafe Lagoon,Bhawar Kuan,"Fast Food, Beverages",300,2.6
424,Famous Dal Bafale,Geeta Bhavan,Rajasthani,200,2.6
425,Youth Adda,Vijay Nagar,"North Indian, South Indian, Fast Food",250,2.6
426,Mid Town Madness,Vijay Nagar,"North Indian, Chinese",350,2.6
427,Clam O Bar,By Pass Road (North),North Indian,1000,2.6
428,Victoria Club & Lounge,"Treasure Island Mall, South Tukoganj","Finger Food, North Indian, Chinese",1000,2.6
429,Gabba's Cake,Sudama Nagar,"Desserts, Bakery",250,2.6
430,Alav,Rajendra Nagar,"North Indian, Chinese",700,2.6
431,Chaar Bhuja Sweets & Namkeen,HIG-LIG,Mithai,200,2.6
432,Ginger Ganesha,"Treasure Island Mall, South Tukoganj",South Indian,400,2.6
433,Shree Krishna Bhojnalay,Airport Road,North Indian,300,2.6
434,Yash Dhaba,Rau,"North Indian, Chinese",400,2.6
435,Blackwood Cafe,Old Palasia,"Sandwich, Fast Food",300,2.6
436,Mamaji Restaurant & Bhojnalay,Navlakha,North Indian,150,2.6
437,Al - Quddus Restaurant,Sapna Sangeeta,"North Indian, Chinese",800,2.6
438,Khaoo Restaurant,Sudama Nagar,North Indian,300,2.6
439,Hotel Pearl & Restaurant,Gangwal Bus Stand,"North Indian, Chinese",700,2.6
440,Domino's Pizza,Airport Road,"Pizza, Fast Food",400,2.7
441,Sam's Pizza,Vijay Nagar,"Fast Food, Pizza",500,2.7
442,Mithas 24,Sudama Nagar,"Mithai, Fast Food, Street Food",200,2.7
443,Panditji - Pure Veg Restaurant,"BCM Heights, Vijay Nagar","North Indian, Chinese",400,2.7
444,Beyond Temptation,Annapurna Road,"Cafe, Sandwich, Fast Food",400,2.7
445,Tea Post,Vijay Nagar,"Cafe, Fast Food",400,2.7
446,Mathurawala Restaurant,"Mathurawala, Airport Road","Chinese, South Indian, Fast Food",450,2.7
447,Hat's Off,Vijay Nagar,"North Indian, Chinese",750,2.7
448,Saffron,"Hotel Kings Park, Bhawar Kuan","North Indian, Chinese",800,2.7
449,Delhi Darbar Dhaba,Sapna Sangeeta,North Indian,300,2.7
450,India Junction,South Tukoganj,"North Indian, Chinese, Salad",800,2.7
451,Destiny Kitchen,MR 10 Road,North Indian,300,2.7
452,CBZ,Vijay Nagar,Fast Food,200,2.7
453,Black Pearl,MR 10 Road,"North Indian, Fast Food",900,2.7
454,Cafe Coffee Day,Old Palasia,"Beverages, Cafe, Sandwich, Fast Food",700,2.7
455,The Indorie Kitchen,Khajrana,Fast Food,250,2.7
456,Cafe Idiots,"Malhar Mega Mall, Vijay Nagar","South Indian, Fast Food, Tea, Beverages",400,2.7
457,Sky Hi,HIG-LIG,"Fast Food, Chinese",650,2.7
458,Chinu's Cafe,Sudama Nagar,Fast Food,350,2.7
459,Cafe El Carpediem,Vijay Nagar,Cafe,400,2.7
460,The London Salon & Cafe,New Palasia,Fast Food,300,2.7
461,Cake's Valley,By Pass Road (North),"Bakery, Fast Food",300,2.7
462,Shri Bhojanalaya,Old Palasia,North Indian,300,2.7
463,Momos Villa,Sarafa Bazaar,Tibetan,200,2.7
464,seon veg restaurant,"Mangal City Mall, Vijay Nagar","North Indian, Fast Food, Beverages",300,2.7
465,Chillz,"Treasure Island Mall, South Tukoganj",Beverages,200,2.7
466,Iceland Vadilal,Annapurna Road,"Desserts, Ice Cream",100,2.7
467,Shraddha Chinese  Point,HIG-LIG,"Chinese, Fast Food",200,2.7
468,Yashika Palace,Gangwal Bus Stand,"North Indian, Chinese",450,2.7
469,Dev's Bakery,Bhawar Kuan,"Bakery, Fast Food",300,2.8
470,K2H Cafe and Restaurant,Geeta Bhavan,"North Indian, Fast Food",250,2.8
471,OMG Lunch Buzzer,"56 Dukan, New Palasia","North Indian, South Indian, Chinese",500,2.8
472,The London Shakes & Cafe,Old Palasia,"Beverages, Fast Food",350,2.8
473,Cake Boutique,Vijay Nagar,"Bakery, Fast Food",250,2.8
474,Biryanotech Cafe,Khajrana,"Fast Food, North Indian, Chinese",300,2.8
475,Cafe Emotions,Bhawar Kuan,"Cafe, Fast Food",250,2.8
476,Big Boss Restaurant,Bhawar Kuan,"North Indian, Chinese, Fast Food, Desserts",600,2.8
477,Amrapali Restaurant,MR 10 Road,North Indian,350,2.8
478,Maakhan Mishri,Vijay Nagar,"Fast Food, South Indian, Street Food",400,2.8
479,Chick N Serve,"56 Dukan, New Palasia",Fast Food,500,2.8
480,Jain Bhojanalay,Vijay Nagar,North Indian,150,2.8
481,Agrawal Sweets,Sarafa Bazaar,Mithai,250,2.8
482,Cafe Cubano,Bhawar Kuan,"Italian, Fast Food",600,2.8
483,Kadaknath Special Chicken Restaurant,MR 10 Road,North Indian,800,2.8
484,Bombay Bhel,"Malhar Mega Mall, Vijay Nagar",Street Food,100,2.8
485,Mugs And Beans,Manik Bagh Road,"North Indian, Italian, Fast Food",750,2.8
486,Subway,"Treasure Island Mall, South Tukoganj","Healthy Food, Sandwich, Salad",500,2.8
487,Honey Pizza,Sarafa Bazaar,"Pizza, Fast Food",100,2.8
488,Chickenlicious Indore,Geeta Bhavan,Fast Food,300,2.8
489,Eenadee Cafe N Restaurant,Rau,Cafe,500,2.8
490,Sawariya Khichdi,Vijay Nagar,North Indian,200,2.8
491,Nation Nutrition,Khajrana,Healthy Food,400,2.8
492,The London Shakes & Cafe,Sapna Sangeeta,"Beverages, Fast Food",350,2.8
493,Chai Kaapi,Khajrana,"Fast Food, Beverages",500,2.8
494,Ajab Gajab,Gangwal Bus Stand,"South Indian, North Indian, Chinese, Street Food",400,2.8
495,Mathurawala Chat Chowpati & Bakery,"Mathurawala, RNT Marg",Street Food,250,2.8
496,K2H,Vijay Nagar,"North Indian, Chinese, Fast Food",350,2.8
497,MealGaadi,Malharganj,"North Indian, Fast Food",450,2.8
498,Nema Gajak Kulfi,Bombay Bazaar,Desserts,200,2.8
499,Shree Nath Restaurant,MR 10 Road,North Indian,300,2.8
500,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
501,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
502,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
503,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
504,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
505,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
506,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
507,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
508,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
509,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
510,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
511,Hotel Zakir,Khajrana,North Indian,300,4.1
512,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
513,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
514,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
515,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
516,99 Rotiwala,HIG-LIG,North Indian,500,4.2
517,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
518,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
519,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
520,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
521,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
522,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
523,KFC,RNT Marg,"Burger, Fast Food",450,3.8
524,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
525,Mangosteen Cafe,New Palasia,Cafe,800,4
526,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
527,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
528,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
529,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
530,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
531,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
532,Ravi Alpahar,Old Palasia,Street Food,100,4.3
533,Guru Kripa,Rau,North Indian,300,3.9
534,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
535,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
536,Behrouz Biryani,Old Palasia,"Biryani, North Indian, Mughlai",700,4.4
537,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
538,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
539,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
540,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
541,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
542,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
543,Behrouz Biryani,"Mangal City Mall, Vijay Nagar","Biryani, North Indian, Mughlai",700,4.4
544,Oiya,New Palasia,Cafe,600,4.4
545,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
546,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
547,Faasos,Old Palasia,"Fast Food, North Indian, Biryani, Rolls, Wraps",600,4.2
548,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
549,Apna Sweets,Bombay Bazaar,"Mithai, North Indian, South Indian, Beverages",400,3.2
550,Dilli Da Roll,New Palasia,Rolls,400,4.4
551,Cakes N' Craft,Old Palasia,"Bakery, Desserts",350,3.9
552,Domino's Pizza,Sudama Nagar,"Pizza, Fast Food",400,3.4
553,Delicious Hut,HIG-LIG,North Indian,300,4.1
554,Nom! Nom! Chinese,Vijay Nagar,"Chinese, Seafood",600,4.1
555,Simi's,Vijay Nagar,"Bakery, Desserts",300,4.6
556,Opium Bar By The Roof,"Infiniti Hotel, Vijay Nagar","Finger Food, North Indian",1400,4.4
557,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
558,Vijay Chaat House,Sarafa Bazaar,Street Food,100,4.4
559,Via Indore,New Palasia,North Indian,550,3.6
560,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
561,Joshi Dahi Bada House,Sarafa Bazaar,Street Food,100,4.9
562,Khaanafest,Khajrana,"North Indian, Chinese, Beverages",500,3.9
563,Madni Non Veg Restaurant,Gangwal Bus Stand,"North Indian, Biryani",400,4.1
564,Chai Kaapi,Old Palasia,"Fast Food, Beverages, Tea",350,4.1
565,Chakhna Cafe,Old Palasia,"Chinese, Fast Food, North Indian, Beverages",350,3.9
566,Pizza Hut,Old Palasia,"Pizza, Fast Food, Italian",700,3.3
567,Mediterra - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Mediterranean, Italian",2500,4.5
568,The Chocolate Room,"BCM Heights, Vijay Nagar","Cafe, Desserts",700,3.9
569,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,4
570,McDonald's,"Mangal City Mall, Vijay Nagar","Burger, Fast Food, Beverages, Cafe, Desserts",500,4.1
571,Chopstick City - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",Chinese,1500,4.5
572,Veera Di Hatti,Sapna Sangeeta,North Indian,250,4.4
573,Noor's Kitchen,Vijay Nagar,"Mughlai, North Indian, Kebab",700,4
574,Yummy Tummy The Cheese Bar,Sudama Nagar,"Fast Food, Street Food",400,3.9
575,Domino's Pizza,RNT Marg,"Pizza, Fast Food",400,3.7
576,Atul Sandwich And Cafe,Old Palasia,Fast Food,200,4.4
577,Midnight Chillies,By Pass Road (North),North Indian,600,3.7
578,Cafe Kono,New Palasia,Cafe,500,4
579,Cafe Kono,Sapna Sangeeta,"Sandwich, Fast Food, Beverages",350,4
580,Apna Sweets,Rau,"Mithai, North Indian, South Indian, Beverages",400,2.4
581,McDonald's,"Treasure Island Mall, South Tukoganj","Burger, Fast Food, Beverages, Cafe, Desserts",500,4.1
582,McDonald's,Bhawar Kuan,"Burger, Fast Food, Beverages, Cafe, Desserts",500,4.1
583,Panchavati Gaurav,"Malhar Mega Mall, Vijay Nagar","Gujarati, Rajasthani",600,3.9
584,Domino's Pizza,Airport Road,"Pizza, Fast Food",400,2.7
585,Wanna Puff,Rau,"Fast Food, Beverages",500,3.7
586,12 AM - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar",North Indian,750,4.1
587,Saify Hotel,Bombay Bazaar,"North Indian, Mughlai",400,4
588,Urban Desi Bistro,"56 Dukan, New Palasia","North Indian, Mughlai",700,4.3
589,Tinku's,Old Palasia,"Sandwich, Fast Food, Beverages",450,4.2
590,Hotel Shree Leela,Sarwate Bus Stand,North Indian,400,3.8
591,Cream Stone,New Palasia,"Ice Cream, Desserts",300,4.2
592,Gordhan Thal,Geeta Bhavan,Gujarati,600,3.9
593,One Asia - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Chinese, Asian",2000,4.5
594,Icekraft,Vijay Nagar,"Desserts, Ice Cream, Fast Food",300,4.1
595,South Avenue,South Tukoganj,North Indian,1000,4.5
596,Ranjeet's Kitchen,Sudama Nagar,North Indian,450,3.3
597,Lal Balti Ki Kachori,Jail Road,Street Food,50,4
598,Make My Sandwich,Vijay Nagar,"Sandwich, Fast Food",300,3.9
599,Faasos,"Mangal City Mall, Vijay Nagar","Fast Food, North Indian, Biryani, Rolls, Wraps",600,4.2
600,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
601,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
602,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
603,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
604,Sagar Gaire,New Palasia,"South Indian, North Indian, Fast Food",450,4.1
605,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
606,Hotel Zakir,Khajrana,North Indian,300,4.1
607,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
608,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
609,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
610,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
611,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
612,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
613,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
614,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
615,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
616,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
617,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
618,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
619,KFC,RNT Marg,"Burger, Fast Food",450,3.8
620,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
621,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
622,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
623,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
624,JMB,Manik Bagh Road,"Chinese, Fast Food, Desserts",400,4.1
625,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
626,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
627,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
628,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
629,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
630,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
631,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
632,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
633,Dilli Da Roll,New Palasia,Rolls,400,4.4
634,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9
635,Delicious Hut,HIG-LIG,North Indian,300,4.1
636,Urban Lokal Cafe,Geeta Bhavan,"Fast Food, North Indian",350,4.1
637,Spicy Family Restaurant,Vijay Nagar,"North Indian, Chinese, Mughlai",500,3.7
638,Chakhna Cafe,Old Palasia,"Chinese, Fast Food, North Indian, Beverages",350,3.9
639,Apna Sweets,Bombay Bazaar,"Mithai, North Indian, South Indian, Beverages",400,3.2
640,Domino's Pizza,Sudama Nagar,"Pizza, Fast Food",400,3.4
641,Oye Pappe,Bhawar Kuan,"North Indian, Fast Food",350,4.2
642,Vijay Chaat House,Sarafa Bazaar,Street Food,100,4.4
643,Linkbite,Vijay Nagar,"North Indian, Chinese, Mughlai",500,3.7
644,Joshi Dahi Bada House,Sarafa Bazaar,Street Food,100,4.9
645,Pleasure House,Bhawar Kuan,"Cafe, Fast Food",500,4.3
646,Apna Dhaba(MTM),Vijay Nagar,"North Indian, Chinese",300,3.4
647,Chai Kaapi,Old Palasia,"Fast Food, Beverages, Tea",350,4.1
648,Veera Di Hatti,Sapna Sangeeta,North Indian,250,4.4
649,Veg Bites,Old Palasia,"North Indian, Chinese, Fast Food",450,3.7
650,Atul Sandwich And Cafe,Old Palasia,Fast Food,200,4.4
651,Lucky Bakers,Sudama Nagar,"Bakery, Fast Food",250,3.9
652,Fantasy,Old Palasia,"Italian, Fast Food",700,3.9
653,Sigdi - Sizzler & South Indian,Vijay Nagar,"South Indian, Chinese, Italian",600,3.9
654,Veg Bites,Sapna Sangeeta,"North Indian, Chinese, Fast Food",450,3.6
655,Sam's Momos,"56 Dukan, New Palasia","Momos, Chinese, Rolls, North Indian, Fast Food",500,4
656,McDonald's,"Mangal City Mall, Vijay Nagar","Burger, Fast Food, Beverages, Cafe, Desserts",500,4.1
657,Saify Family Restaurant,Bombay Bazaar,"North Indian, Chinese, Mughlai",750,3.8
